"ensembl_id","mean_counts_SOD1_A4V_.","mean_counts_SOD1_._.","hgnc_symbol"
"ENSG00000120049",33.43513115,23.28711116,"KCNIP2"
"ENSG00000120053",355.5869947,758.3191976,"GOT1"
"ENSG00000120055",50.68247112,80.64044874,"C10orf95"
"ENSG00000120063",797.7656454,711.8453303,"GNA13"
"ENSG00000120068",1823.854795,1830.297488,"HOXB8"
"ENSG00000120071",552.7147325,326.7316984,"KANSL1"
"ENSG00000120075",494.8136515,753.2274546,"HOXB5"
"ENSG00000120088",53.03705401,67.52703157,"CRHR1"
"ENSG00000120093",2490.067931,936.4451915,"HOXB3"
"ENSG00000120129",262.7718834,340.9938099,"DUSP1"
"ENSG00000120137",2269.344336,1647.168663,"PANK3"
"ENSG00000120158",38.2475378,78.93729474,"RCL1"
"ENSG00000120159",210.6150367,161.5277421,"CAAP1"
"ENSG00000120162",61.18030835,55.73566887,"MOB3B"
"ENSG00000120251",1676.286652,1010.62926,"GRIA2"
"ENSG00000120253",216.8637686,188.1838476,"NUP43"
"ENSG00000120254",239.3093385,441.6065241,"MTHFD1L"
"ENSG00000120256",593.8466276,338.5261993,"LRP11"
"ENSG00000120262",272.4754573,161.7362125,"CCDC170"
"ENSG00000120265",842.8297399,1253.674793,"PCMT1"
"ENSG00000120278",466.9670968,170.968676,"PLEKHG1"
"ENSG00000120306",287.8391851,500.8243927,"CYSTM1"
"ENSG00000120314",135.7808616,86.82246267,"WDR55"
"ENSG00000120318",12.22392824,8.948155466,"ARAP3"
"ENSG00000120324",219.2654486,219.2292069,"PCDHB10"
"ENSG00000120327",257.6162272,220.6875408,"PCDHB14"
"ENSG00000120328",14.93985414,6.35720007,"PCDHB12"
"ENSG00000120333",226.7557308,241.8143986,"MRPS14"
"ENSG00000120334",36.46982636,36.29385003,"CENPL"
